,name,company,year,Price,kms_driven,fuel_type
1785,Maruti Suzuki Swift,Maruti,2006,2100000,43200,Diesel
1786,Toyota Etios GD,Toyota,2007,80000,24800,Petrol
1787,Hyundai i20 Sportz,Hyundai,2007,80000,60000,Diesel
1788,Hyundai i10 Sportz,Hyundai,2007,69999,45872,Petrol
1789,Chevrolet Beat LT,Chevrolet,2007,125000,40000,Diesel
1790,Chevrolet Beat LS,Chevrolet,2007,355000,45000,Diesel
1791,Chevrolet Beat LT,Chevrolet,2007,69999,38000,Diesel
1792,Mahindra Scorpio VLX,Mahindra,2007,220000,50000,Diesel
1793,Tata Indigo CS,Tata,2007,130000,11400,Diesel
1794,Toyota Corolla Altis,Toyota,2007,120000,42000,Petrol
1795,Honda City 1.5,Honda,2007,115000,39000,Petrol
1796,Maruti Suzuki Swift,Maruti,2007,260000,47000,Diesel
1797,Hyundai Eon Era,Hyundai,2007,99000,27000,Petrol
1798,Mahindra Scorpio S10,Mahindra,2007,115000,97200,Diesel
1799,Mahindra XUV500,Mahindra,2007,135000,52000,Diesel
1800,Honda Brio,Honda,2007,135000,30000,Petrol
1801,Ford Fiesta,Ford,2007,125000,55000,Diesel
1802,Honda Amaze,Honda,2007,135000,46000,Diesel
1803,Honda City,Honda,2007,55000,30000,Diesel
1804,Maruti Suzuki Wagon,Maruti,2007,465000,44000,Petrol
1805,Honda City,Honda,2007,30000,45000,Diesel
1806,Hyundai i20,Hyundai,2007,48000,31000,Petrol
1807,Tata Indigo eCS,Tata,2007,120000,175430,Diesel
1808,Hyundai Fluidic Verna,Hyundai,2007,125000,38000,Diesel
1809,Mahindra Quanto C8,Mahindra,2007,165000,37000,Diesel
1810,Fiat Petra ELX,Fiat,2007,200000,65000,Petrol
1811,Skoda Fabia 1.2L,Skoda,2007,230000,38200,Diesel
1812,Mini Cooper S,Mini,2007,350000,13000,Petrol
1813,Hyundai Santro Xing,Hyundai,2007,351000,7500,Petrol
1814,Maruti Suzuki Ciaz,Maruti,2007,380000,3350,Petrol
1815,Maruti Suzuki Zen,Maruti,2007,470000,60000,Petrol
1816,Honda City,Honda,2007,610000,54000,Petrol
1817,Hyundai Creta 1.6,Hyundai,2007,635000,32000,Petrol
1818,Mahindra Scorpio SLX,Mahindra,2007,650000,75000,Diesel
1819,Mahindra Scorpio SLE,Mahindra,2007,650000,62000,Diesel
1820,Toyota Innova 2.5,Toyota,2007,730000,73000,Diesel
1821,Maruti Suzuki Alto,Maruti,2007,730000,41000,Petrol
1822,Maruti Suzuki Wagon,Maruti,2007,760000,35000,Petrol
1823,Tata Nano Cx,Tata,2007,1891111,2200,Petrol
1824,Maruti Suzuki Alto,Maruti,2008,95000,39000,Petrol
1825,Maruti Suzuki Wagon,Maruti,2008,160000,45000,Petrol
1826,Maruti Suzuki Swift,Maruti,2008,75000,45000,Petrol
1827,Tata Sumo Victa,Tata,2008,110000,65000,Diesel
1828,Maruti Suzuki Wagon,Maruti,2008,75000,54870,Petrol
1829,Maruti Suzuki Alto,Maruti,2008,150000,34580,Petrol
1830,Volkswagen Passat Diesel,Volkswagen,2008,149000,97000,Diesel
1831,Renault Scala RxL,Renault,2008,275000,25000,Diesel
1832,Mahindra Quanto C8,Mahindra,2008,135000,20000,Diesel
1833,Hyundai Grand i10,Hyundai,2008,300000,20000,Petrol
1834,Hyundai i20 Active,Hyundai,2008,125000,18000,Petrol
1835,Mahindra Xylo E4,Mahindra,2008,140000,35000,Diesel
1836,Mahindra Jeep MM,Mahindra,2008,285000,60,Diesel
1837,Renault Duster 110PS,Renault,2008,95000,35000,Diesel
1838,Mahindra Bolero SLE,Mahindra,2008,162000,80200,Diesel
1839,Force Motors Force,Force,2008,175000,3200,Diesel
1840,Maruti Suzuki SX4,Maruti,2008,60000,46000,Diesel
1841,Mahindra Jeep CL550,Mahindra,2008,100000,0,Diesel
1842,Maruti Suzuki Alto,Maruti,2008,160000,5000,Petrol
1843,Mahindra Jeep CL550,Mahindra,2008,180000,588,Diesel
1844,Toyota Etios,Toyota,2008,220000,36000,Diesel
1845,Volkswagen Polo,Volkswagen,2008,224999,38000,Diesel
1846,Honda City ZX,Honda,2008,270000,45000,Petrol
1847,Maruti Suzuki Wagon,Maruti,2008,335000,71200,Petrol
1848,Honda City VX,Honda,2008,360000,52000,Diesel
1849,Mahindra Thar CRDe,Mahindra,2008,475000,29000,Diesel
1850,Mitsubishi Pajero Sport,Mitsubishi,2008,500000,47000,Diesel
1851,Audi A4 1.8,Audi,2008,565000,47000,Petrol
1852,Mercedes Benz GLA,Mercedes,2008,599999,20000,Diesel
1853,Land Rover Freelander,Land,2008,750000,30000,Diesel
1854,Renault Kwid RXT,Renault,2008,970000,5000,Petrol
1855,Tata Aria Pleasure,Tata,2008,1200000,35000,Diesel
1856,Mercedes Benz B,Mercedes,2009,195000,31000,Petrol
1857,Datsun GO T,Datsun,2009,240000,7000,Petrol
1858,Tata Indigo eCS,Tata,2009,1600000,175430,Diesel
1859,Tata Indigo eCS,Tata,2009,220000,175400,Diesel
1860,Honda Jazz VX,Honda,2009,210000,41000,Petrol
1861,Honda Amaze 1.2,Honda,2009,199000,33000,Petrol
1862,Honda Amaze,Honda,2009,135000,46000,Diesel
1863,Honda City,Honda,2009,450000,45000,Petrol
1864,Honda City,Honda,2009,699000,39000,Diesel
1865,Honda Amaze,Honda,2009,699000,22000,Petrol
1866,Audi A4 1.8,Audi,2009,220000,47000,Petrol
1867,Force Motors Force,Force,2009,72500,3200,Diesel
1868,Mahindra Scorpio S4,Mahindra,2009,175000,30000,Diesel
1869,Hyundai i20 Active,Hyundai,2009,199999,37000,Diesel
1870,Mini Cooper S,Mini,2009,110000,13000,Petrol
1871,Maruti Suzuki Ciaz,Maruti,2009,169999,14000,Petrol
1872,Chevrolet Tavera Neo,Chevrolet,2009,130000,55000,Diesel
1873,Honda Amaze,Honda,2009,165000,46000,Diesel
1874,Hyundai Eon Sportz,Hyundai,2009,250000,30000,Petrol
1875,Tata Sumo Gold,Tata,2009,159000,50000,Diesel
1876,Maruti Suzuki Wagon,Maruti,2009,160000,45000,Petrol
1877,Maruti Suzuki Esteem,Maruti,2009,150000,45000,Petrol
1878,Maruti Suzuki Eeco,Maruti,2009,110000,9300,Petrol
1879,Chevrolet Enjoy 1.4,Chevrolet,2009,115000,55000,Diesel
1880,Hyundai i20 Asta,Hyundai,2009,269000,36200,Diesel
1881,Ford Figo Diesel,Ford,2009,215000,50000,Diesel
1882,Maruti Suzuki Eeco,Maruti,2009,650000,55000,Petrol
1883,Maruti Suzuki Ertiga,Maruti,2009,90000,45000,Petrol
1884,Maruti Suzuki Esteem,Maruti,2009,170000,51000,Petrol
1885,Maruti Suzuki Ritz,Maruti,2009,295000,19000,Petrol
1886,Maruti Suzuki Dzire,Maruti,2009,210000,46000,Petrol
1887,Maruti Suzuki Ritz,Maruti,2009,85000,33000,Diesel
1888,Maruti Suzuki SX4,Maruti,2009,450000,36000,Petrol
1889,Maruti Suzuki Wagon,Maruti,2009,1225000,22000,Petrol
1890,Mini Cooper S,Mini,2009,85000,13500,Petrol
1891,Nissan Terrano XL,Nissan,2009,250000,60000,Diesel
1892,Renault Duster 85,Renault,2009,320000,27000,Diesel
1893,Renault Duster 85,Renault,2009,125000,59000,Diesel
1894,Renault Duster 85,Renault,2009,250000,19000,Diesel
1895,Maruti Suzuki Dzire,Maruti,2009,88000,30000,Petrol
1896,Renault Kwid RXT,Renault,2009,90000,15000,Petrol
1897,Maruti Suzuki Maruti,Maruti,2009,120000,56758,Petrol
1898,Renault Kwid 1.0,Renault,2009,300000,10000,Petrol
1899,Renault Lodgy 85,Renault,2009,120000,20000,Diesel
1900,Renault Scala RxL,Renault,2009,120000,49000,Diesel
1901,Hyundai Grand i10,Hyundai,2009,400000,41000,Petrol
1902,Maruti Suzuki Swift,Maruti,2009,210000,45000,Petrol
1903,Chevrolet Beat LS,Chevrolet,2009,130000,43000,Petrol
1904,Tata Indigo eCS,Tata,2009,115000,175430,Diesel
1905,Hyundai Santro Xing,Hyundai,2009,270000,56450,Petrol
1906,Hyundai Fluidic Verna,Hyundai,2009,250000,38000,Diesel
1907,Chevrolet Beat LS,Chevrolet,2009,110000,56000,Petrol
1908,Mahindra Quanto C8,Mahindra,2009,110000,37000,Diesel
1909,Fiat Petra ELX,Fiat,2009,300000,65000,Petrol
1910,Chevrolet Beat LS,Chevrolet,2009,99999,32700,Petrol
1911,Skoda Fabia 1.2L,Skoda,2009,100000,38200,Diesel
1912,Ford EcoSport Titanium,Ford,2009,105000,30000,Diesel
1913,Hyundai Accent GLX,Hyundai,2009,120000,56000,Petrol
1914,Mahindra TUV300 T4,Mahindra,2009,125000,9000,Diesel
1915,Mini Cooper S,Mini,2009,159500,13000,Petrol
1916,Mini Cooper S,Mini,2009,170000,13000,Petrol
1917,Tata Indica V2,Tata,2009,175000,11000,Petrol
1918,Mini Cooper S,Mini,2009,180000,13000,Petrol
1919,Tata Indigo CS,Tata,2009,190000,46000,Diesel
1920,Maruti Suzuki Swift,Maruti,2009,205000,73,Petrol
1921,Mahindra Scorpio VLX,Mahindra,2009,225000,160000,Diesel
1922,Honda Accord,Honda,2009,225000,58559,Petrol
1923,Mahindra Scorpio S4,Mahindra,2009,235000,30000,Diesel
1924,Chevrolet Tavera Neo,Chevrolet,2009,260000,55000,Diesel
1925,Ford EcoSport Titanium,Ford,2009,285000,57000,Diesel
1926,Maruti Suzuki Ertiga,Maruti,2009,320000,50000,Diesel
1927,Honda Amaze,Honda,2009,340000,37000,Petrol
1928,Maruti Suzuki Dzire,Maruti,2009,380000,40000,Petrol
1929,Honda City,Honda,2009,381000,55000,Petrol
1930,Mahindra Scorpio 2.6,Mahindra,2009,385000,170000,Diesel
1931,Maruti Suzuki Dzire,Maruti,2009,385000,55000,Diesel
1932,Honda City,Honda,2009,389700,39000,Petrol
1933,Honda Mobilio,Honda,2009,390000,44000,Petrol
1934,Toyota Corolla Altis,Toyota,2009,399000,65000,Petrol
1935,Honda City,Honda,2009,400000,39000,Petrol
1936,Skoda Laura,Skoda,2009,400000,44000,Diesel
1937,Renault Duster,Renault,2009,430000,49000,Diesel
1938,Maruti Suzuki Ertiga,Maruti,2009,449999,9000,Diesel
1939,Maruti Suzuki Dzire,Maruti,2009,450000,45000,Diesel
1940,Mahindra XUV500,Mahindra,2009,540000,47000,Diesel
1941,Hyundai Verna Fluidic,Hyundai,2009,540000,40000,Diesel
1942,Maruti Suzuki Vitara,Maruti,2009,548900,29000,Diesel
1943,Maruti Suzuki Wagon,Maruti,2009,550000,15000,Petrol
1944,Mahindra Scorpio,Mahindra,2009,569999,45000,Diesel
1945,Honda Amaze,Honda,2009,575000,35000,Petrol
1946,Mahindra XUV500,Mahindra,2009,580000,80000,Diesel
1947,Mahindra Scorpio,Mahindra,2009,599000,68000,Diesel
1948,Skoda Laura,Skoda,2009,599999,50000,Diesel
1949,Volkswagen Polo,Volkswagen,2009,644999,60000,Diesel
1950,Hyundai Elite i20,Hyundai,2009,650000,9000,Petrol
1951,Tata Manza Aura,Tata,2009,750000,72000,Diesel
1952,Chevrolet Sail UVA,Chevrolet,2009,770000,60000,Petrol
1953,Renault Duster 110,Renault,2009,855000,38000,Diesel
1954,Hyundai Verna Fluidic,Hyundai,2009,855000,45000,Diesel
1955,Audi A4 2.0,Audi,2009,900000,40000,Diesel
1956,Hyundai Elantra SX,Hyundai,2009,950000,20000,Petrol
1957,Mahindra Scorpio VLX,Mahindra,2009,1350000,35000,Diesel
1958,Mahindra KUV100 K8,Mahindra,2009,1525000,20000,Diesel
1959,Renault Scala RxL,Renault,2009,1600000,25000,Diesel
1960,Mahindra Quanto C8,Mahindra,2009,2390000,20000,Diesel
1961,Hyundai Grand i10,Hyundai,2009,2800000,20000,Petrol
1962,Hyundai i20 Active,Hyundai,2009,3100000,18000,Petrol
1963,Mahindra Xylo E4,Mahindra,2009,8500003,35000,Diesel
1964,Hyundai Grand i10,Hyundai,2010,182000,6821,Petrol
1965,Hyundai i20,Hyundai,2010,249999,23000,Petrol
1966,Hyundai Eon,Hyundai,2010,182000,14000,Petrol
1967,Hyundai i10,Hyundai,2010,110000,38000,Petrol
1968,Hyundai i20 Active,Hyundai,2010,351000,35000,Diesel
1969,Datsun Redi GO,Datsun,2010,285000,22000,Petrol
1970,Toyota Etios Liva,Toyota,2010,289999,41000,Petrol
1971,Hyundai Accent,Hyundai,2010,85000,45000,Petrol
1972,Hyundai Verna,Hyundai,2010,189500,44000,Diesel
1973,Maruti Suzuki Swift,Maruti,2010,159500,45000,Diesel
1974,Toyota Fortuner,Toyota,2010,168000,52000,Diesel
1975,Hyundai i10 Sportz,Hyundai,2010,145000,34000,Petrol
1976,Mahindra Bolero Power,Mahindra,2010,135000,1800,Diesel
1977,Mahindra XUV500,Mahindra,2010,249999,15000,Diesel
1978,Honda City 1.5,Honda,2010,120000,400000,Petrol
1979,Chevrolet Spark LT,Chevrolet,2010,80000,44000,Petrol
1980,Mahindra Jeep MM,Mahindra,2010,199999,60,Diesel
1981,Renault Duster 110PS,Renault,2010,99999,35000,Diesel
1982,Mahindra XUV500,Mahindra,2010,240000,72000,Diesel
1983,Tata Indigo eCS,Tata,2010,225000,40000,Diesel
1984,Mahindra Bolero SLE,Mahindra,2010,95000,80200,Diesel
1985,Force Motors Force,Force,2010,940000,3200,Diesel
1986,Skoda Rapid Elegance,Skoda,2010,155555,48000,Diesel
1987,Tata Vista Quadrajet,Tata,2010,195000,90000,Diesel
1988,Maruti Suzuki Alto,Maruti,2010,32000,12000,Petrol
1989,Maruti Suzuki SX4,Maruti,2010,220000,46000,Diesel
1990,Maruti Suzuki Zen,Maruti,2010,149000,69900,Petrol
1991,Mahindra Jeep CL550,Mahindra,2010,99000,0,Diesel
1992,Hyundai i10 Magna,Hyundai,2010,52000,45000,Petrol
1993,Maruti Suzuki Alto,Maruti,2010,149000,5000,Petrol
1994,Maruti Suzuki Swift,Maruti,2010,180000,166000,Diesel
1995,Honda City ZX,Honda,2010,110000,42000,Petrol
1996,Mahindra Jeep CL550,Mahindra,2010,300000,588,Diesel
1997,Mahindra Jeep MM,Mahindra,2010,205000,122,Diesel
1998,Chevrolet Beat Diesel,Chevrolet,2010,32000,62000,Diesel
1999,Honda City 1.5,Honda,2010,225000,70000,Petrol
2000,Hyundai Verna 1.4,Hyundai,2010,210000,36000,Petrol
2001,Toyota Innova 2.5,Toyota,2010,185000,0,Diesel
2002,Maruti Suzuki Maruti,Maruti,2010,190000,55000,Petrol
2003,Toyota Etios,Toyota,2010,270000,36000,Diesel
2004,Volkswagen Polo,Volkswagen,2010,130000,38000,Diesel
2005,Maruti Suzuki Swift,Maruti,2010,150000,55000,Diesel
2006,Hyundai Elite i20,Hyundai,2010,375000,20000,Diesel
2007,Maruti Suzuki Swift,Maruti,2010,40000,40000,Petrol
2008,Maruti Suzuki Versa,Maruti,2010,80000,50000,Petrol
2009,Tata Indigo LX,Tata,2010,90000,104000,Diesel
2010,Volkswagen Vento Konekt,Volkswagen,2010,90000,65000,Diesel
2011,Mercedes Benz C,Mercedes,2010,99999,41000,Petrol
2012,Maruti Suzuki Ertiga,Maruti,2010,125000,90000,Diesel
2013,Honda City,Honda,2010,130000,80000,Petrol
2014,Hyundai Santro Xing,Hyundai,2010,140000,46000,Petrol
2015,Maruti Suzuki Omni,Maruti,2010,140000,70000,Petrol
2016,Hyundai Sonata Transform,Hyundai,2010,145000,36469,Diesel
2017,Hyundai Elite i20,Hyundai,2010,149000,7800,Petrol
2018,Volkswagen Vento Konekt,Volkswagen,2010,174999,65000,Diesel
2019,Maruti Suzuki Alto,Maruti,2010,175000,60000,Petrol
2020,Maruti Suzuki Alto,Maruti,2010,210000,32000,Petrol
2021,Honda Jazz S,Honda,2010,219000,24695,Petrol
2022,Hyundai Grand i10,Hyundai,2010,220000,15141,Petrol
2023,Maruti Suzuki Zen,Maruti,2010,245000,40000,Petrol
2024,Mahindra Scorpio W,Mahindra,2010,251111,65000,Diesel
2025,Maruti Suzuki Alto,Maruti,2010,260000,22000,Petrol
2026,Hyundai Grand i10,Hyundai,2010,274999,59910,Diesel
2027,Mahindra XUV500 W8,Mahindra,2010,299999,100000,Diesel
2028,Hyundai Creta 1.6,Hyundai,2010,300000,25000,Petrol
2029,Hyundai i20 Magna,Hyundai,2010,300000,35000,Petrol
2030,Renault Duster 85,Renault,2010,310000,65000,Diesel
2031,Hyundai Grand i10,Hyundai,2010,320000,35000,Petrol
2032,Honda Brio V,Honda,2010,344999,33000,Petrol
2033,Mahindra TUV300 T4,Mahindra,2010,350000,68000,Diesel
2034,Chevrolet Spark LS,Chevrolet,2010,365000,23000,Petrol
2035,Mahindra TUV300 T8,Mahindra,2010,365000,4500,Diesel
2036,Maruti Suzuki Swift,Maruti,2010,370000,129000,Diesel
2037,Nissan X Trail,Nissan,2010,380000,300,Diesel
2038,Maruti Suzuki Alto,Maruti,2010,385000,5000,Petrol
2039,Ford Ikon 1.3,Ford,2010,395000,65000,Petrol
2040,Toyota Fortuner 3.0,Toyota,2010,415000,131000,Diesel
2041,Tata Manza ELAN,Tata,2010,435000,111111,Petrol
2042,Mercedes Benz A,Mercedes,2010,444999,14000,Petrol
2043,Chevrolet Beat LS,Chevrolet,2010,449999,22000,Diesel
2044,Ford EcoSport Trend,Ford,2010,450000,38000,Diesel
2045,Tata Indigo LS,Tata,2010,489999,70000,Diesel
2046,Hyundai i20 Magna,Hyundai,2010,499999,36000,Petrol
2047,Volkswagen Vento Highline,Volkswagen,2010,800000,34000,Diesel
2048,Renault Kwid RXT,Renault,2010,940000,43000,Petrol
2049,Ford EcoSport Titanium,Ford,2010,1000000,40000,Diesel
2050,Honda Amaze 1.5,Honda,2011,280000,160000,Diesel
2051,Hyundai Verna 1.6,Hyundai,2011,159500,12000,Petrol
2052,BMW 5 Series,BMW,2011,155000,49000,Diesel
2053,Skoda Superb 1.8,Skoda,2011,600000,68000,Petrol
2054,Audi Q3 2.0,Audi,2011,189500,37000,Diesel
2055,Mahindra Bolero DI,Mahindra,2011,350000,59466,Diesel
2056,Mahindra Scorpio S10,Mahindra,2011,179000,97200,Diesel
2057,Ford Figo Duratorq,Ford,2011,499999,99000,Diesel
2058,Maruti Suzuki Wagon,Maruti,2011,150000,25500,Petrol
2059,Mahindra Logan Diesel,Mahindra,2011,145000,66000,Petrol
2060,Tata Nano GenX,Tata,2011,85000,44005,Petrol
2061,Mahindra TUV300 T4,Mahindra,2011,209000,35000,Diesel
2062,Mahindra TUV300 T4,Mahindra,2011,274999,35000,Diesel
2063,Hyundai Elite i20,Hyundai,2011,159500,28000,Petrol
2064,Hyundai Elite i20,Hyundai,2011,145000,30000,Petrol
2065,Honda City SV,Honda,2011,210000,4000,Petrol
2066,Maruti Suzuki Baleno,Maruti,2011,275000,28000,Petrol
2067,Ford Figo Petrol,Ford,2011,225000,75000,Petrol
2068,Mahindra Scorpio S10,Mahindra,2011,159500,97200,Diesel
2069,Honda City,Honda,2011,284999,3000,Petrol
2070,Hyundai Elite i20,Hyundai,2011,239999,20000,Petrol
2071,Maruti Suzuki Versa,Maruti,2011,1074999,50000,Petrol
2072,Hyundai Eon Era,Hyundai,2011,120000,2110,Petrol
2073,Mitsubishi Pajero Sport,Mitsubishi,2011,175000,43222,Petrol
2074,Hyundai i10 Magna,Hyundai,2011,275000,100200,Petrol
2075,Toyota Corolla H2,Toyota,2011,245000,100000,Petrol
2076,Maruti Suzuki Swift,Maruti,2011,245000,65,Petrol
2077,Tata Indigo CS,Tata,2011,155000,100000,Diesel
2078,Mahindra Scorpio S10,Mahindra,2011,1299000,97200,Diesel
2079,Mahindra Scorpio S10,Mahindra,2011,530000,97200,Diesel
2080,Hyundai Xcent Base,Hyundai,2011,175000,140000,Diesel
2081,Honda City,Honda,2011,230000,55000,Petrol
2082,Hyundai Accent Executive,Hyundai,2011,1150000,48000,Petrol
2083,Maruti Suzuki Baleno,Maruti,2011,140000,22000,Petrol
2084,Tata Zest XE,Tata,2011,100000,103553,Diesel
2085,Maruti Suzuki Dzire,Maruti,2011,350000,80000,Diesel
2086,Tata Sumo Gold,Tata,2011,175000,99000,Diesel
2087,Toyota Corolla Altis,Toyota,2011,125000,58000,Petrol
2088,Maruti Suzuki Eeco,Maruti,2011,255000,70000,Diesel
2089,Toyota Fortuner 3.0,Toyota,2011,750000,120000,Diesel
2090,Mahindra XUV500 W6,Mahindra,2011,230000,49800,Diesel
2091,Tata Tigor Revotron,Tata,2011,365000,100,Diesel
2092,Maruti Suzuki 800,Maruti,2011,240000,81876,Petrol
2093,Maruti Suzuki Ertiga,Maruti,2011,1075000,75000,Petrol
2094,Maruti Suzuki Versa,Maruti,2011,240000,50000,Petrol
2095,Honda Mobilio S,Honda,2011,1000000,44000,Diesel
2096,Maruti Suzuki Ertiga,Maruti,2011,200000,55000,Diesel
2097,Maruti Suzuki Vitara,Maruti,2011,165000,36000,Diesel
2098,Hyundai Verna 1.6,Hyundai,2011,390000,56000,Diesel
2099,Maruti Suzuki Swift,Maruti,2011,390000,62000,Petrol
2100,Toyota Fortuner 3.0,Toyota,2011,220000,120000,Diesel
2101,Maruti Suzuki Omni,Maruti,2011,250000,6020,Petrol
2102,Honda Amaze,Honda,2011,365000,55700,Diesel
2103,Tata Indica,Tata,2011,230000,42000,Petrol
2104,Hyundai Santro Xing,Hyundai,2011,750000,50000,Petrol
2105,Maruti Suzuki Zen,Maruti,2011,475000,35000,Petrol
2106,Maruti Suzuki Wagon,Maruti,2011,290000,18500,Petrol
2107,Maruti Suzuki Wagon,Maruti,2011,290000,7000,Petrol
2108,Honda Brio VX,Honda,2011,270000,11000,Petrol
2109,Maruti Suzuki Zen,Maruti,2011,72500,53000,Petrol
2110,Maruti Suzuki Zen,Maruti,2011,95000,23000,Petrol
2111,Maruti Suzuki Wagon,Maruti,2011,100000,35500,Diesel
2112,Maruti Suzuki Alto,Maruti,2011,100000,22134,Petrol
2113,Renault Kwid RXT,Renault,2011,100000,1000,Petrol
2114,Tata Nano Lx,Tata,2011,120000,9000,Petrol
2115,Jaguar XE XE,Jaguar,2011,123000,8500,Petrol
2116,Hyundai Eon Magna,Hyundai,2011,135000,35000,Petrol
2117,Honda City 1.5,Honda,2011,149000,22000,Petrol
2118,Hindustan Motors Ambassador,Hindustan,2011,149000,25000,Diesel
2119,Maruti Suzuki Ritz,Maruti,2011,150000,40000,Petrol
2120,Hyundai Grand i10,Hyundai,2011,150000,20000,Petrol
2121,Hyundai Eon D,Hyundai,2011,155000,87000,Petrol
2122,Maruti Suzuki Swift,Maruti,2011,160000,55000,Petrol
2123,Maruti Suzuki Wagon,Maruti,2011,165000,23000,Petrol
2124,Honda Amaze 1.2,Honda,2011,168000,6000,Petrol
2125,Maruti Suzuki Estilo,Maruti,2011,180000,65000,Petrol
2126,Maruti Suzuki Vitara,Maruti,2011,215000,25000,Diesel
2127,Maruti Suzuki Eeco,Maruti,2011,220000,39000,Petrol
2128,Hyundai Creta 1.6,Hyundai,2011,230000,8000,Petrol
2129,Mahindra Scorpio Vlx,Mahindra,2011,250000,75000,Diesel
2130,Maruti Suzuki Ertiga,Maruti,2011,255000,51000,Diesel
2131,Mitsubishi Lancer 1.8,Mitsubishi,2011,269000,50000,Petrol
2132,Maruti Suzuki Maruti,Maruti,2011,270000,75000,Petrol
2133,Maruti Suzuki Alto,Maruti,2011,275000,55800,Petrol
2134,Hyundai Grand i10,Hyundai,2011,280000,53000,Petrol
2135,Hyundai Eon D,Hyundai,2011,285000,25000,Petrol
2136,Ford Fiesta SXi,Ford,2011,285000,56400,Petrol
2137,Maruti Suzuki Ritz,Maruti,2011,315000,72160,Diesel
2138,Hyundai Verna Fluidic,Hyundai,2011,315000,10000,Diesel
2139,Maruti Suzuki Wagon,Maruti,2011,325000,48000,Petrol
2140,Maruti Suzuki Estilo,Maruti,2011,340000,36000,Petrol
2141,Audi A6 2.0,Audi,2011,395000,11500,Diesel
2142,Maruti Suzuki Wagon,Maruti,2011,399999,133000,Petrol
2143,Maruti Suzuki Wagon,Maruti,2011,400000,27000,Petrol
2144,Maruti Suzuki Wagon,Maruti,2011,405000,35000,Petrol
2145,Maruti Suzuki Alto,Maruti,2011,425000,55000,Petrol
2146,Maruti Suzuki Baleno,Maruti,2011,450000,40000,Petrol
2147,Hyundai Verna 1.6,Hyundai,2011,475000,2000,Petrol
2148,Maruti Suzuki Swift,Maruti,2011,480000,45000,Petrol
2149,Hyundai Getz Prime,Hyundai,2011,480000,20000,Petrol
2150,Hyundai Santro,Hyundai,2011,500000,88000,Petrol
2151,Hyundai Getz Prime,Hyundai,2011,500000,20000,Petrol
2152,Chevrolet Beat PS,Chevrolet,2011,501000,65422,Diesel
2153,Ford EcoSport Trend,Ford,2011,524999,10000,Petrol
2154,Maruti Suzuki Dzire,Maruti,2011,550000,35000,Petrol
2155,Hyundai Fluidic Verna,Hyundai,2011,550000,117000,Diesel
2156,Tata Indica V2,Tata,2011,599999,150000,Diesel
2157,BMW X1 xDrive20d,BMW,2011,600000,72000,Diesel
2158,Hyundai i20 Asta,Hyundai,2011,649999,10750,Petrol
2159,Honda City 1.5,Honda,2011,650000,55000,Petrol
2160,Tata Nano,Tata,2011,830000,6800,Petrol
2161,Chevrolet Cruze LTZ,Chevrolet,2011,865000,41000,Diesel
2162,Hyundai Verna Fluidic,Hyundai,2011,1000000,73000,Diesel
2163,Maruti Suzuki Swift,Maruti,2011,1200000,65000,Diesel
2164,Mahindra XUV500 W6,Mahindra,2011,1475000,45000,Diesel
2165,Mahindra XUV500 W10,Mahindra,2011,1891111,40000,Diesel
2166,Maruti Suzuki Alto,Maruti,2011,1891111,37000,Petrol
2167,Hyundai Accent GLE,Hyundai,2011,2900000,55000,Petrol
2168,Force Motors One,Force,2012,175000,140000,Diesel
2169,Maruti Suzuki Alto,Maruti,2012,100000,9800,Petrol
2170,Chevrolet Spark 1.0,Chevrolet,2012,100000,27000,Petrol
2171,Hyundai i10,Hyundai,2012,100000,27000,Petrol
2172,Toyota Etios Liva,Toyota,2012,650000,20000,Diesel
2173,Renault Duster 85PS,Renault,2012,448000,57923,Diesel
2174,Chevrolet Enjoy,Chevrolet,2012,501000,30201,Diesel
2175,Maruti Suzuki Alto,Maruti,2012,175000,6200,Petrol
2176,BMW 5 Series,BMW,2012,570000,37518,Petrol
2177,Toyota Etios Liva,Toyota,2012,501000,24652,Petrol
2178,Mahindra Jeep MM,Mahindra,2012,224999,383,Diesel
2179,Chevrolet Beat LS,Chevrolet,2012,210000,95000,Diesel
2180,Chevrolet Cruze LTZ,Chevrolet,2012,135000,35000,Diesel
2181,Jeep Wrangler Unlimited,Jeep,2012,155000,3528,Diesel
2182,Maruti Suzuki Ertiga,Maruti,2012,329500,52500,Diesel
2183,Hyundai Verna VGT,Hyundai,2012,158400,47900,Diesel
2184,Maruti Suzuki Omni,Maruti,2012,349999,14000,Petrol
2185,Maruti Suzuki Celerio,Maruti,2012,849999,37000,Petrol
2186,Tata Zest Quadrajet,Tata,2012,224999,90000,Diesel
2187,Mahindra XUV500 W6,Mahindra,2012,169500,52800,Diesel
2188,Tata Indigo CS,Tata,2012,98500,104000,Diesel
2189,Hyundai i10 Era,Hyundai,2012,224999,30000,Petrol
2190,Tata Indigo eCS,Tata,2012,199999,195000,Diesel
2191,Tata Indigo LX,Tata,2012,565000,104000,Diesel
2192,Tata Indigo eCS,Tata,2012,285000,104000,Diesel
2193,Tata Indigo Marina,Tata,2012,400000,70000,Diesel
2194,Hyundai Xcent SX,Hyundai,2012,501000,43000,Diesel
2195,Hyundai Eon Magna,Hyundai,2012,265000,23000,Petrol
2196,Renault Duster 85,Renault,2012,399999,51000,Diesel
